Team,Level,Season,Age,IP,K9,BB9,KBB,HR9,Kp,BBp,KBBp,AVG,WHIP,BABIP,LOBp,ERA,FIP,EF,xFIP
TOR,A+,2022.0,23.0,24.99,10.81,4.71,2.8,0.98,0.28,0.11,0.17,0.23,1.51,0.3,0.67,5.6,4.54,1.07,4.55
TOR,AA,2022.0,24.05,30.59,9.43,5.47,2.21,1.46,0.23,0.13,0.1,0.25,1.68,0.31,0.66,6.62,5.54,1.08,5.35
TOR,AAA,2022.0,27.65,27.3,9.52,3.93,2.87,1.46,0.25,0.1,0.15,0.23,1.39,0.28,0.71,4.65,4.98,-0.34,4.34
TOR,CPX,2022.0,22.18,11.64,11.75,2.87,2.92,0.51,0.35,0.07,0.28,0.18,1.02,0.25,0.78,2.98,3.14,-0.16,3.36
TOR,DSL,2022.0,18.38,17.03,8.48,5.47,3.51,0.42,0.19,0.11,0.08,0.28,1.83,0.35,0.51,7.63,4.76,2.87,4.99
WSN,A,2022.0,22.89,31.75,9.65,3.5,3.46,0.7,0.25,0.09,0.16,0.24,1.34,0.31,0.73,3.99,4.03,-0.04,4.08
WSN,A+,2022.0,23.88,34.92,9.41,3.97,3.4,1.16,0.24,0.1,0.14,0.24,1.39,0.3,0.71,4.71,4.82,-0.11,4.75
WSN,AA,2022.0,25.47,35.01,9.9,4.28,2.84,1.16,0.25,0.1,0.15,0.23,1.36,0.29,0.72,4.71,4.59,0.12,4.6
WSN,AAA,2022.0,27.91,27.7,9.05,4.32,2.59,1.77,0.23,0.11,0.13,0.25,1.5,0.3,0.75,5.17,5.62,-0.44,4.9
WSN,CPX,2022.0,22.28,11.07,9.82,3.92,3.17,0.54,0.26,0.09,0.16,0.22,1.32,0.29,0.68,3.56,4.0,-0.44,4.06
WSN,DSL,2022.0,18.86,21.93,9.5,5.71,2.6,0.59,0.24,0.12,0.11,0.23,1.55,0.3,0.66,5.13,4.98,0.15,4.77
