Name,Team,Level,Age,PA,BB,K,BBK,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC1,wRAA,wOBA,wRC2,PlayerId
"Germain Noriega","NYM","DSL",18,161,0.0931677,0.16149068,0.57692308,0.27659574,0.36024845,0.32624113,0.68648958,0.04964539,8.306745201962766,0.3362069,1.2424158148933202,22.21400621105217,-0.9645708544156675,0.34898238448622804,95.83852429037712,"sa3018968"
"Karell Paz","NYM","A,CPX,DSL",22,115,0.06956522,0.15652174,0.44444444,0.31632653,0.39130435,0.58163265,0.972937,0.26530612,7.226229063165409,0.34177215,-1.503280232893303,24.66778985119063,8.801267762543741,0.44475224018096926,156.524847438568,"sa3018969"
"Kendry Feliz","MIA","DSL",17,173,0.1849711,0.21965318,0.84210526,0.25373134,0.4127907,0.37313433,0.78592503,0.11940299,6.241561882991237,0.32978723,0.6523943799547851,31.13774456578175,6.231571694192091,0.4006731527489285,125.02018967876198,"sa3018970"
"Ramon Ramirez","LAA","DSL",17,198,0.18686869,0.24242424,0.77083333,0.2721519,0.41414141,0.47468354,0.88882495,0.20253164,5.654511699132952,0.36448598,-2.0732347655575722,40.327341497204515,11.822010696194384,0.4298167078181951,141.47298194404905,"sa3018971"
"Dilver Gomez","CHC","DSL",18,65,0.10769231,0.32307692,0.33333333,0.25454545,0.359375,0.38181818,0.74119318,0.12727273,6.58936297858237,0.41176471,0.11289242166094482,9.923290051693895,0.5654794352006701,0.36705777421593666,106.0428604336575,"sa3018972"
"Elizaul Chalas","CHC","DSL",17,105,0.12380952,0.22857143,0.54166667,0.24719101,0.35238095,0.37078652,0.72316747,0.12359551,7.864439532787252,0.32307692,0.30763281253166497,15.333936255704195,0.21747295213821669,0.3589021330788022,101.43864968789964,"sa3018973"
"Jeffry Filion","KCR","DSL",19,49,0.16326531,0.32653061,0.5,0.05,0.20408163,0.125,0.32908163,0.075,8.52558788839064,0.08,0.40776111907325685,0.021354983309993303,-7.0329945583541305,0.17932711790005365,0.30272079918732714,"sa3018974"
"Elvis Rijo","OAK","DSL",18,143,0.12587413,0.13286713,0.94736842,0.25217391,0.38732394,0.32173913,0.70906307,0.06956522,2.7794108365338195,0.29896907,-1.2724100633058697,22.10751928703737,1.520335930752275,0.36943492797059074,107.38486612977161,"sa3018975"
"Luis Tejeda","KCR","DSL",17,19,0.15789474,0.10526316,1.5,0.2,0.31578947,0.2,0.51578947,0,5.026331334065585,0.21428571,-0.3015210800804198,1.574726799211776,-1.1606332271477822,0.2811943700439052,57.94097474512333,"sa3018976"
"Alejandro Nunez","HOU","DSL",17,212,0.09433962,0.12264151,0.76923077,0.29281768,0.39336493,0.39226519,0.78563012,0.09944751,9.082596099907992,0.33333333,1.538961322978139,36.46660877000875,5.945749528523152,0.3908612316563016,119.4809375498884,"sa3018977"
"Noelin Cuevas","BAL","DSL",20,1,0,1,0,0,0,0,0,0,0.142857142857143,0,0,-0.14566089431838797,-0.2896272114952068,0,-100,"sa3019054"
