Season,Name,Team,Level,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,xFIP,PlayerId
2022,"Chris Sale","BOS","AA",33,4,15.75,0,7,0,0.46666667,0,0.46666667,0.26666667,1,0.5,0.75,2.25,-0.08501272201538068,2.3350127220153807,1.076656897366047,"10603"
2022,"Andrew Bellatti","PHI","AAA",30,1.1,20.250050090377258,0,3,0,0.5,0,0.5,0.4,1.5000037103983153,1,1,0,1.2576321259003298,-1.2576321259003298,1.2576321259003298,"10657"
2022,"Tyler Thornburg","MIN","AAA",33,14.1,9.418606740065893,3.7674426960263574,2.5,0.627907116004393,0.22058824,0.08823529,0.13235295,0.28813559,1.6046515186778931,0.37209302,0.56910569,5.651164044039536,4.205312264836017,1.4458517792035188,4.68289908093328,"10688"
2022,"Drew Hutchison","DET","AAA",31,13.2,12.512192211571621,1.9756092965639402,6.33333333,1.3170728643759602,0.35849057,0.05660377,0.3018868,0.22,1.0243900056257467,0.31034483,0.71428571,3.9512185931278805,3.2881255474351434,0.6630930456927371,2.716781196415482,"10732"
2022,"Trevor Rosenthal","MIL","AAA",32,2,9,13.5,0.66666667,9,0.16666667,0.25,-0.08333333,0.44444444,3.5,0.4,0.71428571,18,19.007637691497802,-1.007637691497802,9.315205943584441,"10745"
2022,"Shane Greene","LAD","AAA",33,7.2,10.565213010533785,4.695650226903904,2.25,0,0.21428571,0.0952381,0.11904761,0.34210526,2.2173903849268437,0.44827586,0.70588235,5.86956278362988,3.0726841398356775,2.796878643794203,6.241555179715087,"10756"
2022,"Shane Greene","NYY","AAA",33,26.2,10.124998793006087,5.062499396503044,2,1.0124998793006088,0.24793388,0.12396694,0.12396694,0.25242718,1.5374998167157392,0.32857143,0.70351759,5.399999356269913,4.745137543976325,0.6548618122935883,4.584992562326208,"10756"
2022,"R.J. Alaniz","ATL","AAA",31,26,14.192307692307692,3.1153846153846154,4.55555556,1.3846153846153846,0.37272727,0.08181818,0.29090909,0.2020202,1.1153846153846154,0.2962963,0.62992126,3.8076923076923075,3.6230223068824183,0.18467000080988916,3.5312347600093257,"10819"
2022,"R.J. Alaniz","ATL","A+",31,1,18,0,2,0,0.66666667,0,0.66666667,0,0,0,1,0,-0.34171895980834943,0.34171895980834943,1.1415890052914621,"10819"
2022,"Michael Mariot","DET","AAA",33,26.2,6.7499991953373915,3.7124995574355655,1.81818182,2.0249997586012176,0.17241379,0.09482759,0.0775862,0.27184466,1.4624998256564348,0.28571429,0.76687117,5.399999356269913,6.39513734728102,-0.9951379910111067,5.51669530797808,"10835"
2022,"Michael Mariot","PHI","AAA",33,52.1,6.191083404257553,3.611465319150239,1.71428571,1.5477708510643882,0.15789474,0.09210526,0.06578948,0.24378109,1.337579747833422,0.25641026,0.75709779,4.643312553193164,5.915281237597962,-1.271968684404798,6.207690121115174,"10835"
2022,"Asher Wojciechowski","SEA","AAA",33,25.2,8.064934066062275,2.8051944577607912,2.875,2.4545451505406923,0.19491525,0.06779661,0.12711864,0.30555556,1.5974023995582285,0.33333333,0.45180723,8.766232680502473,6.77737007115382,1.9888626093486526,6.150433323156888,"10836"
2022,"Adam Kolarek","OAK","AAA",33,41.1,8.491936528844098,3.483871396448861,2.4375,0.8709678491122153,0.21787709,0.08938547,0.12849162,0.26582278,1.4032259791252357,0.33043478,0.59233449,6.0967749437855066,4.750453911462772,1.3463210323227344,4.91284496639209,"10843"
2022,"Chasen Shreve","NYY","AAA",31,4.2,9.642850574186479,1.9285701148372958,5,0,0.29411765,0.05882353,0.23529412,0.0625,0.42857113663051016,0.09090909,0.5,1.9285701148372958,2.0076387132910174,-0.0790685984537216,3.7795490698907184,"10855"
2022,"Jacob deGrom","NYM","A",34,4.2,21.214271263210254,0,11,0,0.61111111,0,0.61111111,0.17647059,0.6428567049457653,0.5,1,0,-0.5509669089822777,0.5509669089822777,0.03170265683530582,"10954"
2022,"Jacob deGrom","NYM","AAA",34,8,11.25,4.5,2.5,2.25,0.32258065,0.12903226,0.19354839,0.14814815,1,0.13333333,0.57692308,4.5,5.757637691497803,-1.257637691497803,5.195036896318197,"10954"
2022,"Tim Adleman","NYM","AAA",34,44.2,7.858208060397469,3.223880229906654,2.4375,2.0149251436916584,0.19897959,0.08163265,0.11734694,0.25988701,1.3880595434320315,0.28125,0.62745098,6.044775431074976,5.947935921079923,0.09683950999505342,4.96278919492249,"10968"
2022,"Casey Lawrence","TOR","AAA",34,126,7.571428571428571,1.2142857142857142,6.23529412,1.2857142857142858,0.2194617,0.03519669,0.18426501,0.20518359,0.8888888888888888,0.22713864,0.82405345,2.7857142857142856,4.158431342291454,-1.3727170565771685,4.060074777924825,"11121"
2022,"Vince Velasquez","CHW","AAA",30,5.2,11.117640821994993,6.352937612568568,1.75,0,0.26923077,0.15384615,0.11538462,0.22727273,1.588234403142142,0.33333333,0.66666667,4.7647032094264254,3.1546967130217713,1.610006496404654,4.905761275923345,"11189"
2022,"Grant Dayton","LAA","AAA",34,34,8.735294117647058,4.5,1.94117647,1.0588235294117647,0.21428571,0.11038961,0.1038961,0.26470588,1.5588235294117647,0.32323232,0.64049587,5.5588235294117645,5.031763099221623,0.5270604301901418,5.884183495886186,"11203"
2022,"Grant Dayton","MIA","AAA",34,15.1,14.086959442254656,2.9347832171363866,4.8,0.5869566434272773,0.38709677,0.08064516,0.30645161,0.1754386,0.9782610723787956,0.28125,0.66176471,2.347826573709109,2.203289594992742,0.14453697871636706,3.1890069825741088,"11203"
2022,"Aaron Barrett","PHI","AAA",34,13.1,10.125002413988689,5.4000012874606345,1.875,3.3750008046628963,0.20833333,0.11111111,0.09722222,0.36507937,2.3250005543233287,0.41860465,0.48,12.825003057719005,8.157638800144461,4.667364257574544,5.887348257383243,"11243"
2022,"Zach Neal","COL","AAA",33,116.2,7.3285720675722015,2.16000018833707,3.39285714,2.16000018833707,0.18304432,0.0539499,0.12909442,0.30165289,1.491428701470834,0.32686981,0.62764457,6.865714884357115,6.2467212909309415,0.6189935934261737,5.3826565341456245,"11294"
2022,"Tommy Kahnle","LAD","AAA",32,9.2,9.310341765850406,2.793102529755122,3.33333333,1.8620683531700815,0.25,0.075,0.175,0.21621622,1.1379306602706054,0.24,0.85365854,3.724136706340163,5.407016138628062,-1.6828794322878995,5.230604615191064,"11384"
2022,"Tommy Kahnle","LAD","A",32,3.2,9.818172667645873,0,4,0,0.25,0,0.25,0.3125,1.3636350927285934,0.41666667,0.8,2.4545431669114683,1.9665028099167214,0.4880403569947469,3.470031090029334,"11384"
2022,"Drew Pomeranz","SDP","A",33,2,9,0,2,0,0.25,0,0.25,0.375,1.5,0.5,0.66666667,4.5,2.148318958282471,2.351681041717529,4.215672270208597,"11426"
2022,"Drew Pomeranz","SDP","CPX",33,1,18,0,2,0,0.66666667,0,0.66666667,0,0,0,1,0,0.25997896194458026,-0.25997896194458026,1.314131569862366,"11426"
